Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569832.325,2625698.328,3351955.414,3910614.491,1340782.123,1620111.732,1843575.419,1620111.732,608938.5475,1083798.883,1335195.531,1329608.939,273743.0168,1458100.559,819846.0963,1036166.002,5195530.726,6759776.536,9050279.33,4972067.039,5307262.57,4860335.196,58146742.31,58627995.08,53640100.52,52684335.98,56140485.05,36920295.45,34264018.27,34984040.42,35845637.16,38279493.45,37717579.03
Africa Eastern and Southern,AFE,,,,,,,,,,,22659994.13,22638212.21,30732321.74,28418270.11,48835701.25,222109242.7,248793852.6,357418043.2,411297570.1,555940080.1,878786379.4,1071196790,1321885469,1532407269,1361742076,1093022948,989016132.4,1416188048,1462145055,1737838423,1651896840,1626667942,1816978652,1616569780,1920518110,2018399025,1729240917,2375641194,2519054550,2697573266,2604068623,1998851127,2342595416,2880425019,3711097136,3400278044,3885941886,4637984123,5637712569,6529049382,7855160215,9436898043,9539966159,9473590191,10621779907,10968477839,10183862948,10674949475,14957133802,15055802915,13948588260,17397797594,20410903798,21470854305
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,89540435.95,140695166.3,378206657,179116561.4,219416087.5,347165291.8,253367821.6,348624717.3,627710802.4,822731630.2,803546453.8,828571904.1,788917115.2,320000000,320000000,320000000
Africa Western and Central,AFW,,,,,,,,,,,,,,,60248103.62,139998419.5,170825509.3,245958070.8,305453695.3,380800574.4,518917396,463998938.1,364134025.5,359196532.1,311697347.2,409886754.1,552424634.6,579776508,634503545.9,637025980.6,711095246.7,744048879.5,875127137.3,1524387332,1198252979,1033892976,1087241699,1278708493,1186080345,2081216506,2197264227,2085343579,2286595770,2635146674,4102042871,16722662965,19409694975,21099158358,22797325933,21884173259,23801903317,27623774682,27691377000,28076823908,29072581839,31217369942,28428696089,31601716353,34564118510,34978100385,29228222420,30561202827,32784268967,32748020766
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142000,,,,,,,,,0,0,0,82084000,162358.5,17972037,204751.1,40348853.99,36637411.34,30971119.27,11114711.6,3988048.38,1418195.84,1579247.15,3445473.468,8053050.894,12631149.32,14005491.48,12066567.17
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151800000,332000000,307100000,427300000,550900000,300300000,504140000,407200000,597800000,699300000,733570000,888748582.3,1160672105,1289704316,1359467325,1468020000,1865581564,1717698012,1586574271,1552078514,1419772515,1281848114,1421007454,1290863508,1306009167,1311822432,1458210056,1472812242,1465987212,1718355918,1745245136,2036169283
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21100000,47416323.74,53001417.77,44577777.05,44577777.05
Arab World,ARB,,,,,,,,,,,211000000,238000000,247719978.3,269739208.2,276823417.7,966117778.4,1355695710,2637034422,4405529374,5563872498,6403246145,5907729369,5862270294,7173076351,7371483942,6449093711,6277412014,7601042249,7479027556,6950298995,9699913089,9774454435,12849686882,11791714151,10391224182,10655741100,10697809478,11492129404,11922113929,11621826045,11476946813,12851715142,15829429504,20315498457,23393335357,22640992845,24459749069,29515131560,33884270768,31754690365,37780646735,38944864662,45933616317,47228856825,53122149553,49328023741,48657414275,55456160366,57983898244,60423937851,63089576499,72182569348,69888786729,59872296752
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,26000000,42000000,56000000,42000000,28000000,28000000,32000000,27000000,32000000,34000000,30280000.69,26559999.47,22840000.15,19120000.84,15399999.62,57700000.76,62400001.53,63600000,65000000,65700000,68500000,64300000,86343658.59,189600000,206630000,273420000,311780000,432090000,540635441.9,606498926.5,705144403.4,628542376.1,644300740.1,697379575.1,577532962.1,535004409.4,505346891.7,494433532.1,391579047.7,479937459.8,522441503,561398444.7,648090050,902789422,1056459896,1009693899
