Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294682887,0.273892774,0.309437864,0.313901343,0.101522843,0.117408907,0.120350109,0.097282791,0.035343709,0.057850352,0.070404736,0.067773443,0.013391783,0.064665633,0.034738986,0.041953732,0.194033855,0.23776708,0.354385742,0.20264398,0.201195823,0.185848869,2.131596248,2.100722036,1.810387426,1.76577673,1.815417076,1.126929727,1.009012001,1.367148159,1.155124414,1.079905474,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,0.500606234,0.459519741,0.577848829,0.641286872,0.743001814,0.993647936,1.069574717,1.052343891,1.036003829,0.810570122,0.950399495,0.893964672,0.989529389,0.770564452,0.711549704,0.913712487,0.82092056,0.909913141,0.852471832,0.723242092,0.967969052,1.095893027,1.149663198,1.093284326,0.891746721,1.04759233,0.924769533,0.953954908,0.67186043,0.683688767,0.711356263,0.790146592,0.91253435,0.924778772,0.998149703,1.004214444,0.986402939,1.087020774,1.2242801,1.105183651,1.075251957,1.359812399,1.498650456,1.504133088,1.599903174,1.713108302,1.655013597
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.885723661,1.133162336,2.385158368,1.005984687,1.102187435,1.72321111,1.236113736,1.821995813,3.464843066,4.387093282,4.450986218,4.407427595,3.953296853,2.243016947,2.206568124,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,0.427408114,0.476667494,0.426208396,0.478139066,0.226228195,0.200272788,0.268122322,0.282228621,0.361126796,0.512474868,0.52441834,0.577758172,0.619821682,0.586910252,0.586254655,0.707678776,1.183373363,0.900623636,0.507569458,0.419819887,0.470601435,0.406373195,1.56399385,1.623365954,1.468471613,1.340244638,1.33214009,1.683703371,5.352805488,4.887998776,4.530793496,4.014052131,4.303227274,3.975612912,4.049021601,3.753238037,3.365877459,3.249838483,4.057537827,4.107118306,4.608342543,4.49942554,4.24525703,3.713186083,3.612465012,3.737628984,4.111045674
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07867849,,,,,,,,,0,0,0,0.092709778,0.000230927,0.021446479,0.000183157,0.031509516,0.027684493,0.022778442,0.012281935,0.007558617,0.001924539,0.001987707,0.004859764,0.016603694,0.018992744,0.013415254,0.014242382
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27596153,28.00942102,16.32684861,17.85800219,17.21755759,13.29635342,19.80153266,12.6769794,17.17640745,17.82973046,16.87117035,15.83799653,16.15480677,16.01703854,15.28165313,13.74894948,14.48280766,14.26161323,13.30245689,12.04024027,11.52428266,10.03307443,10.74230124,11.33643769,11.01076776,10.07565298,9.621069286,9.562581927,9.668356595,9.583389631,9.226105845,8.861510269
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668748058,1.64013507,1.594179583,1.31863427,1.195860526
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.208923906,2.018143357,2.09251504,1.88907415,2.023575841,2.037721561,1.771008058,1.906619336,1.921705255,2.132588401,2.269143542,2.283623809,2.543234194,2.377856767,2.304113897,2.68793574,2.699036529,2.152187196,1.768310071
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,0.025573112,0.028321448,0.030537229,0.030127903,0.031184238,0.023856045,0.034660209,0.016158169,0.010078011,0.006731389,0.024372553,0.024238658,0.02464813,0.02388391,0.022434004,0.022913665,0.022678936,0.030380901,0.070562818,0.211442421,0.214300875,0.189350127,0.217417891,0.232474118,0.210933765,0.195029381,0.188764794,0.152091368,0.131541807,0.105778682,0.096916675,0.096015201,0.083133102,0.070234322,0.074567478,0.099546818,0.125380809,0.168011924,0.185034774,0.167390907,0.157619019
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.859303465,9.626361262,13.96690791,8.800002298,9.897258,9.529371319,9.876949218,11.10491554,11.96482723,22.01856943,18.67639743,18.31281761,17.86140864,16.32704918,16.64916405,18.02683916,17.73422265,18.03301787,19.71137739,17.90443984,14.13274143,13.10746283,13.34774464,11.94270341,11.21892108,10.49705525,11.21718275,10.40994991,5.996019882
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,3.759258189,3.386120334,2.998982646,2.89934096,2.618242683,0.604422642,0.517005476,2.056036907,1.911545056,0.541112514,1.316535777,1.298629253,2.374833518,2.201570112,1.925815035,2.698150079,1.586007003,1.727110194,1.715254684,2.5371815,2.240198946,2.040757063,1.908087413,2.006380956,2.227928984,2.286403311,2.248899223,2.260946741,2.309873597,2.173137996,1.792697083,1.56875651,1.9721746,2.137261572,2.567379223,2.826701176,1.863802133,1.72009298
Australia,AUS,,,,,,,,,,,0.436255272,0.389340032,0.439959679,0.439528695,0.347061175,0.294558384,0.290568222,0.295917781,0.350778228,0.367533964,0.421102513,0.418734071,0.397416414,0.507867354,0.49407215,0.558594524,0.577254972,0.736866196,0.798082571,0.801095984,0.760895211,0.762323127,0.591699718,0.353017586,0.395587616,0.119209351,0.129040713,0.123667384,0.125498463,0.136483871,0.124549289,0.128215784,0.117669488,0.139302481,0.134176476,0.135175703,0.1355983,0.15694034,0.144494573,0.143701915,0.162284678,0.17511155,0.15769943,0.156034658,0.158631373,0.160874489,0.170327698,0.150874629,0.130648847,0.1263843,0.089995529,0.060064322,0.077204012,0.100167578
